Modified:,2023,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?
1,Dhamma talk,,Session,,"After the Abhayagiri community begins the retreat with the ceremony of taking dependence, Ajahn Pasanno explains the meaning of dependence, the importance of mindfulness, and how mindfulness connects with the eightfold path. He explains how to look after both oneself and others with mindfulness using the Simile of the Acrobat (SN 47.19).",,Ceremony/ritual,Dependence,Mindfulness,Right Mindfulness,,,,,,,
1,Extra tags,,,,,,Eightfold Path,,,,,,,,,,
2,Dhamma talk,,Session,,"Ajahn Pasanno reflects upon the question: “What kind of effort do we need to conform with what the Buddha means by mindfulness?” He answers in terms of the four aspects of right effort, the seven qualities of Dhamma the Buddha taught to Upali (AN 7.79), and the Buddha's description of how he crossed the flood (SN 1.1).",,Right Effort,Mindfulness,Dhamma,,,,,,,,
3,Dhamma talk,,Session,,"The commentary explains sampajañña (clear comprehension / alertness) as clear comprehension of purpose, suitability, domain, and non-delusion. Ajahn Pasanno describes how each of these factors relate to the practice of mindfulness.",,Clear comprehension,Mindfulness,,,,,,,,,
4,Dhamma talk,,Session,,"Cautioning against trusting our assumptions about the nature of mindfulness, Ajahn Pasanno reviews several key passages in the Satipaṭṭhāna Sutta (MN 10).",,Ardency,Clear comprehension,Mindfulness,Right Mindfulness,,,,,,,
5,Reading,s,Session,,from [Body Contemplation]().,,Mindfulness of body,,,,,,,,,,
5,Sutta,0,,,AN 4.184: Janussonī; AN 10.60: Girimananda; SN 35.247: Six Animals; AN 4.45: Rohitassa; Thag 1.104: Khitaka.,,,,,,,,,,,,
5,Sutta,0,,,"Dhp 259, Dhp 299, Dhp 46; Ud 3.5.",,,,,,,,,,,,
5,Sutta,0,,,"AN 1.575 and onward, Mindfulness immersed in the body (SuttaCentral numbering).",,,,,,,,,,,,
5,Sutta,0,,,"AN 1.616 and onward, Deathless (SuttaCentral numbering).",,,,,,,,,,,,
5,,,12:40,,Do you need to be a non-returner to be free from the fear of death?,AP;AKd,Non-return,Fear,Death,Sensual desire,Arahant,Conceit,Stream entry,Faith,,,
5,,,15:21,17:12,"In this passage where the Buddha lists illnesses and calamaties (AN 10.60), he separates kamma out as a cause of those things. However the cause of being subject to these things is because of making good or bad kamma. Is kamma [in this list] a direct, proximate cause?",,Kamma,Sickness,Conditionality,,,,,,,,
5,Sutta,,,,SN 36.21 Sīvaka: The Buddha refutes the notion that kamma causes everything.,,Kamma,Conditionality,,,,,,,,,
5,,,30:18,,Is mindfulness of the body fabricating a wholesome mental image of the body as opposed to an unwholesome image? But how can we know the body in any way other than vedanā?,,Mindfulness of body,Visualization,Feeling,,S. N. Goenka,Mindfulness of breathing,Postures,Clear comprehension,Right Mindfulness,,
5,Extra tags,,,,,,,,,,Calming meditation,Insight meditation,Delusion,Characteristics of existence,,,
5,Quote,,,,"The availability of insight is through stepping back from the assumptions that we make, whether it's around the body or feeling or mind or the sense of self.",,Insight meditation,Relinquishment,,,,,,,,,
5,Discussion,,36:49,,of which excercises described as mindfulness of the body (MN 10) are reflective techniques and which are based on vedanā.,AP;AKd,Mindfulness of body,Recollection,Feeling,,Elements,Unattractiveness,Insight meditation,Liberation,,,
5,Comment,2,,,about S.N. Goenka's use of the term vedanā.,AKd,S. N. Goenka,Feeling,Contact,Sense bases,Aggregates,,,,,,
6,Reading,,Session,,"MN 119: This sutta describes the development of mindfulness of the body through mindfulness of breathing, the four postures, full awareness, bodily parts, elements, corpse contemplation, and the four jhānas.",,Mindfulness of body,,,,,,,,,,
6,,,28:00,,What is mesentery?,,,,,,,,,,,,
6,Reference,,,,Abhayagiri Chanting Book p. 37.,,,,,,,,,,,,
6,,,29:26,,Why are some body parts omitted from this list?,,,,,,Commentaries,Sensual desire,Self-identity view,,,,
6,Reference,,,,Abhayagiri Chanting Book p. 37.,,,,,,,,,,,,
6,Comment,,32:32,,This reminds me of Ajahn Anan's practice.,,Ajahn Anan,Nimitta,,,Thai Forest Tradition,Concentration,Sutta,,,,
6,,,34:06,,What do the Pāḷi terms translated as impurity and foulness mean?,,Pāli,Translation,Aversion,,Etymology,Sensual desire,,,,,
6,Simile,,,,MN 119.7: Sack of grains.,,,,,,,,,,,,
6,Comment,,,,"Words themselves like ""impure"" are culturally loaded.",,Language,Cultural context,Culture/India,,,,,,,,
6,Comment,,39:00,39:49,I find it helpful to think about all the different cells of the body. How could any of them be me?,,Form,Not-self,,,,,,,,,
7,Teaching,0,Session,,"The contemplation of the parts of the body can be used to reduce sexual craving, to still the mind, and to induce insight into the nature of the body. In the first slideshow, Ajahn Karuṇadhammo gives a brief description of the structure and function of each of the thirty-two parts. The Abhayagiri Chanting Book p. 37 lists the thirty-two parts in Pali and English. Many of the slide show images come from [32parts.com](https://32parts.com), an internet resource for body contemplation.",,Sensual desire,Calming meditation,Insight meditation,,,,,,,,
7,Reference,,,,[Video](https://www.abhayagiri.org/media/discs/2015WinterRetreat/Video/AKd_01_14_2015_Thirty-two_Parts_Slideshow_1.mp4) of the slideshow.,,,,,,,,,,,,
7,,,29:04,,What is the length of an average small intestine?,,,,,,,,,,,,
7,,,29:24,30:00,How long does it take food to make its way through the digestive tract?,,Food,,,,,,,,,,
7,,,35:58,36:26,Is blood only red when it's outside the body?,,,,,,,,,,,,
7,,,38:30,39:24,Is there a biological function for tears?,,,,,,Emotion,,,,,,
7,,,40:17,40:32,How does phlegm relate to mucus?,,,,,,,,,,,,
7,Comment,,42:41,44:27,"When I go though the list [of the 32 parts], I separate the object from my body and evision my body with it absent.",,Visualization,,,,,,,,,,
7,Response,,,,,,Ajahn Chah,Unattractiveness,Not-self,Sensual desire,Calming meditation,Sloth and torpor,,,,,
8,Teaching,,Session,,Ajahn Karuṇadhammo reviews the slideshow again with an emphasis on internal contemplation and insight.,,Recollection,Insight meditation,,,,,,,,,
8,Reference,,,,[Video](https://www.abhayagiri.org/media/discs/2015WinterRetreat/Video/AKd_01_15_2015_Thirty-two_Parts_Slideshow_2.mp4) of the slideshow.,,,,,,,,,,,,
8,,,9:28,10:10,Why is there no liquid blood in the photographs of flesh and sinews?,,,,,,,,,,,,
8,Reference,,,,Thirty-two parts slideshow [video](https://www.abhayagiri.org/media/discs/2015WinterRetreat/Video/AKd_01_15_2015_Thirty-two_Parts_Slideshow_2.mp4).,,,,,,,,,,,,
8,,,15:20,,Where does a stomach ache originate from?,,Sickness,,,,,,,,,,
8,,,15:52,16:49,Is there a particular orientation for the intestines?,,,,,,,,,,,,
8,Story,,,,Ajahn Karuṇadhammo's first surgery as a nursing student.,,Ajahn Karuṇadhammo,Health care,Unattractiveness,,,,,,,,
8,,,16:59,,"During the meditation, is it appropriate to envision the stomach itself with undigested food?|(The stomach isn't listed in the 32 parts.)",,Visualization,Food,,,,,,,,,
8,Comment,,17:47,18:33,Perhaps the thirty-one parts were part of the medical culture at the time of the Buddha.,,,,,,,,,,,,
8,Comment,,,,The brain had a lot less significance in those days.,AKd,History/Early Buddhism,Unattractiveness,,,,,,,,,
8,Comment,,29:55,,I cultivate saṁvega by contemplating the heart.,,Sense of urgency,,,,,,,,,,
8,,,30:25,32:07,Why are the first five parts chosen for special contemplation?,,,,,,Ajahn Mun,Sensual desire,,,,,
9,Teaching,,Session,,"On the twenty-second anniversary of Ajahn Chah's passing, Ajahn Passano reads of the founding of Wat Pah Pong and a Westerner's contemporary reflection on Ajahn Chah.",,Ajahn Chah Remembrance Day,Wat Pah Pong,Ajahn Chah,,,,,,,,
9,Recollection,0,,,Description of the Ajahn Chah Remembrance Day at Wat Pah Pong.,,Ajahn Chah Remembrance Day,Wat Pah Pong,Ajahn Chah,,Devotional practice,Gratitude,,,,,
9,Reading,,,,from the [draft biography]() of Ajahn Chah by Ajahn Jayasaro.,,,,,,,,,,,,
9,Reading,,,,Introduction to _Listening to the Heart_ by Kittisaro and Thanissara.,Kittisaro;Thanissara,,,,,,,,,,,
10,Summary,,Session,,,,,,,,,,,,,,
10,Reading,,,,[Nine point death meditation from the Lam Rim](https://www.abhayagiri.org/media/discs/2015WinterRetreat/Sources/Nine_Point_Lam_Rim_Death_Mediatation.png).,,,,,,,,,,,,
10,Reading,,,,AN 6.19: Mindfulness of Death (1).,,,,,,,,,,,,
10,Reading,,,,AN 6.20: Mindfulness of Death (2).,,,,,,,,,,,,
10,Reading,,,,"MN 10: Satipaṭṭhāna Sutta, The Foundations of Mindfulness, Charnel ground contemplations.",,,,,,,,,,,,
10,Reading,,,,"“Only the Practice of Dharma Can Help Us at the Time of Death,” Larry Rosenberg, Tricycle, Summer 2000.",,,,,,,,,,,,
10,Comment,s,29:03,,about the Lam Rim teachings.,BSteff;AShj,Vajrayāna,Bhikkhu Bodhi,,,,,,,,,
10,Response,,,,,,,,,,,,,,,,
