Modified:,2023,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?
1,Teaching,0,Session,,"Ajahn Pasanno begins the retreat by encouraging us to return to the basics of the Noble Eight-fold Path. He mentions Iris Landsberg, a long-standing lay supporter dying of lung cancer, both to set the tone for the monk's final visit to her and to encourage us to practice while there is still time. Iris passed away February 1, 2014.",,Eightfold Path,Sickness,Death,Mutual lay/Saṅgha support,Ajahn Pasanno,Meditation retreats,Family,Health care,,,
1,Extra tags,,,,,,Sense of urgency,,,,,,,,,,
1,Sutta,,,,DN 16.34: The world will not be devoid of awakened beings as long as people are practicing the Eightfold Path.,,Stages of awakening,Eightfold Path,,,,,,,,,
1,Story,,,,Ajahn Pāvaro decides to practice in Bodh Gaya after receiving worrying medical news.,,Ajahn Pavaro,Sickness,Health care,Visiting holy sites,Impermanence,,,,,,
1,Sutta,,,,MN 131: Bhaddekaratta Sutta (Chanting Book p. 75),,,,,,,,,,,,
2,Other,,0:26,1:44,Ajahn Karuṇadhammo describes the scope and format of the Winter Retreat 2014 readings.,AKd,,,,,,,,,,,
2,Recollection,,2:12,,This talk was given to a group of Western monks led by Ajahn Khantipālo paying respects to Ajahn Chah in Bangkok.,AP;AKd,Ajahn Khantipālo,Ajahn Chah,,,Ajahn Sumedho,Translation,Hearing the true Dhamma,,,,
2,Reading,,4:47,32:13,"Ajahn Chah, “The Training of the Heart” from Collected Teachings pp. 505-516.",,,,,,,,,,,,
2,Read by,,,,,AKd,,,,,,,,,,,
2,,,32:24,,Was this talk given on a formal occasion?,,Teaching Dhamma,Ajahn Chah,,,Thai sects,,,,,,
2,,,35:45,,What did Ajahn Chah mean by 'Nowadays there are only sterile remains of the Dhamma.',,Ajahn Chah,Dhamma,,,Culture/Thailand,Practicing in accordance with Dhamma,Liberation,,,,
3,Reading,,Session,,"Ajahn Liem, “Watch Your Mind and Escape Māra's Snare” from Santi pp. 6-23.",,,,,,,,,,,,
3,Read by,,,,,ANy,,,,,,,,,,,
4,Reading,,Session,,"Ajahn Liem, “Watch Your Mind and Escape Māra's Snare” from Santi pp. 23-36.",,,,,,,,,,,,
4,Read by,,,,,ANy,,,,,,,,,,,
5,Reading,,Session,,"Ajahn Lee, “Introduction” and “The Art of Letting Go” from [Breath in Mind]() pp. [v-viii](Breath in Mind p. 5) and [28-30](Breath in Mind p. 28).",,,,,,,,,,,,
5,Read by,,,,,AJoti,,,,,,,,,,,
5,,,30:00,,Does anyone know the Thai word that Ajahn Ṭhānissaro translates as “preoccupations?”,AP;AJoti,Thai,Translation,Ajahn Ṭhānissaro,,,,,,,,
5,,,31:44,,Was there much contact between the sphere of Wat Pah Pong and the sphere of Wat Asokaram (Ajahn Lee's monastery)?,,Wat Pah Pong,Ajahn Chah,Wat Asokaram,Ajahn Lee Dhammadharo,Ajahn Anan,History/Thai Buddhism,Thai sects,Conflict,,,
5,,,33:30,,Why was the Dhammayut/Mahanikai split so strong?,,Thai sects,Conflict,,,Ajahn Chah,,,,,,
5,,,35:02,,Why did conflict between the sects break out on almsround?,,Thai sects,Conflict,Almsround,,Culture/Thailand,,,,,,
5,,,36:04,,"Before Ajahn Chah, were there any Mahanikai teachers worthy of respect?",,Ajahn Chah,Thai sects,,,Ajahn Kinaree,Ajahn Tongrat,Ajahn Mun,,,,
5,,,37:29,,Where did Ajahn Taungrut and Ajahn Kinaree live?,,Ajahn Tongrat,Ajahn Kinaree,,,Ajahn Mun,,,,,,
5,,,38:05,,Did the Dhammayut/Mahanikai differences matter to serious practice monks?,,Thai sects,Monastic life,,,Pāṭimokkha,Saṅgha,Ajahn Baen,Ajahn Mun,Ajahn Mahā Boowa,,
6,Reading,,Session,,"Ajahn Chah, “The Peace Beyond” from Collected Teachings pp. 9-19.",,,,,,,,,,,,
6,Read by,,,,,AAh,,,,,,,,,,,
8,Reading,,Session,,"Ajahn Mahā Boowa, “Birth and Death” from Straight from the Heart pp. 55-71.",,,,,,,,,,,,
8,Read by,,,,,ACu,,,,,,,,,,,
9,Reading,,0:00,,Interview with Ajahn Bprasert Thavaro from _Twigs and Branches of the Bodhinyana_.,,Ajahn Chah,,,,Practicing in accordance with Dhamma,Impermanence,,,,,
9,Read by,,,,,AKc,,,,,,,,,,,
9,Reading,,0:42,,"Ajahn Chah, “Not Sure” from Collected Teachings pp. 599-612.",,,,,,,,,,,,
9,Read by,,,,,AKc,,,,,,,,,,,
9,,,36:20,,What does paṭipadā mean?,,Eightfold Path,,,,Continuity of mindfulness,Ajahn Chah,Investigation of states,,,,
10,Reading,,Session,,“Detachment Within Activity” from Collected Teachings pp. 291-304.,,,,,,,,,,,,
10,Read by,,,,,AKov,,,,,,,,,,,
10,,,26:24,,What degree of pīti and sukha is necessary to establish the first jhāna?,AP,Rapture,Happiness,Jhāna,,Hindrances,One pointedness,Directed thought and evaluation,,,,
10,,,28:27,,Do the underlying tendencies still exist in first jhāna?,AP,Unwholesome Roots,Jhāna,,,Concentration,,,,,,
10,,,29:14,,"When Ajahn Mahā Boowa says that the peaceful mind is the gathering place for the defilements, are these the underlying tendencies?",AP;AJoti,Ajahn Mahā Boowa,Concentration,Unwholesome Roots,,Knowledge and vision,Relinquishment,Delusion,Stages of awakening,,,
10,,,31:57,,What are the three kinds of seclusion? What is upadhiviveka?,AP,Seclusion,,,,Clinging,Self-identity view,Aggregates,Becoming,,,
11,Reading,,Session,,"Ajahn Mahā Boowa, “The Direct Route to the End of All Suffering” (partial) from Arahattamagga Arahattaphala (pdf) pp. 9-23.",,,,,,,,,,,,
11,Read by,,,,Tan Pamutto,,,,,,,,,,,,
11,,,31:42,,Ajahn Chah took Ajahn Mahā Amon and Ajahn Sumedho to visit Luang Ta Mahā Boowa and Ajahn Kaew. What happened?,,,,,,,,,,,,
11,,,35:34,,Do you have any advice for working with pain?,,,,,,,,,,,,
