Modified:,2023,,,,,,,,
Full Name,Alphabetize,Alphabetize2,Sort by,Exact date,Known month,Known year,Estimated year,Tweak,Duplicate
,,,,,,,,,
,,,,,,,,,
Amaravati Saṅgha,,,1984.18,,,1984,,,
Abhayagiri Saṅgha,,,1996.18,,,1996,,,
,,,,,,,,,
,,,,,,,,,
Ajahn Mun,,,1893.18,,,1893,,,
Ajahn Chah,,,1939.106,16 Apr 1939,,,,,
Ajahn Lee Dhammadharo,,,1927.147,27 May 1927,May 1925,,,,
Ajahn Mahā Boowa,,,1934.132,12 May 1934,,,,,
Ajahn Tong Jan,,,,,,,,,
Bhikkhu Ñāṇamoli,,,1950.18,,,1950,,,
,,,,,,,,,
P. A. Payutto,"Payutto, P. A.",,1961.205,24 Jul 1961,,,,,
,,,,,,,,,
Piyadasi Thera,,,,,,,,,
Ajahn Sīlaratano,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ajahn Liem,,,,,,,,,
Ajahn Pasanno,,,1974.004,4 Jan 1974,,,,,
Ajahn Ṭhānissaro,,,1976.18,,,1976,,,
Ajahn Amaro,,,1979.097,7 Apr 1979,,,,,
Ajahn Jayasaro,,,1980.155,3 Jun 1980,,,,,
Ajahn Yatiko,,,1992.22,7 Aug 1992,,,,,
Ajahn Karuṇadhammo,,,1998.13,10 May 1998,,,,,
Ajahn Jotipālo,,,2000.169,17 Jun 2000,,,,,
Ajahn Ñāniko,,,2003.194,13 Jul 2003,,,,,
Ajahn Kassapo,,,2007.195,14 Jul 2007,,,,,
Ajahn Cunda,,,2008.143,22 May 2008,,,,,
Ajahn Kaccāna,,,2008.3,26 Oct 2008,,,,,
Ajahn Kovilo,,,2010.199,18 Jul 2010,,,,,
Tan Jāgaro,,,2016.157,5 Jun 2016,,,,,
Tan Suhajjo,,,2014.173,22 Jun 2014,,,,,
,,,,,,,,,
,,,,,,,,,
Ajahn Jun,,,,,,,,,
Ajahn Sinuan,,,,,,,,,
Ajahn Chu,,,,,,,,,
Ajahn Mahā Amon,,,,,,,,,
Ajahn Sumedho,,,1967.133,13 May 1967,,,,,
Ajahn Anek,,,,,,,,,
Ajahn Toon,,,,,,,,,
Ajahn Viradhammo,,,1974.272,29 Sep 1974,,,,,
Ajahn Tiradhammo,,,1974.181,30 Jun 1974,,,,,
Ajahn Dtun,,,,,,,,,
Ajahn Anan,,,,,,,,,
Ajahn Munindo,,,1976.173,21 Jun 1976,,,,,
,,,,,,,,,
Ajahn Siripañño,,,,,,,,,
Ajahn Kevali,,,,,,,,,
Ajahn Pavaro,,,2003.334,30 Nov 2003,,,,,
,,,,,,,,,
,,,,,,,,,
Ajahn Sucitto,,,1976.082,22 Mar 1976,,,,,
Ajahn Jundee,,,,,,,,,
Ajahn Ñāṇadhammo,,,1980.155,3 Jun 1980,,,,,
Ajahn Soṇa,,,1989.203,22 Jul 1989,,,,,
Ajahn Gavesako,,,1975.18,,,1975,,,
Ajahn Sudanto,,,1994.332,28 Nov 1994,,,,,
Ajahn Ñāṇiko,,,2003.194,13 Jul 2003,,,,,
,,,,,,,,,
Ajahn Sundara,,,,,,,,,
Mae Chee Kumfah,,,,,,,,,
,,,,,,,,,
